A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
Sheets, Emily Churchill Thompson
Sheinbaum, Fred
Sheldon, Anna R.
Sheldon, Charles M.
Sheldon, Georgie, Mrs.
Sheldon, Lilian
Sheldon, Louise Vescelius
Sheldon, Lurana
Sheldon, Walter J.
Sheldon, Winthrop Dudley
Shell Union Oil Corporation
Shellenberger, John K.
Shelley, Henry C.
Shelley, Mary Wollstonecraft
Shelley, Percy Bysshe
Shelton, F. H.
Shelton, Louise
Shelton, Napier
Shelton, Vaughan
Shelton, W. H.
Shen, Dao
Shen, Fu
Shen, Jiji
Shen, Kuo
Shen, Qifeng
Shenstone, W. A.
Shenton, F. K. J.
Shepard, Edward Morse
Shepard, Odell
Shepard, William Edward
Shepherd, Ambrose
Shepherd, C. K.
Shepherd, J. W.
Shepherd, William
Shepherd, William R.
Shepp, Daniel B.
Shepp, James W.
Sheppard, Elizabeth Sara
Sheppard, H. Fleetwood
Sheppard, W. Crispin
Shepperson, Isabel
Sherer, Moyle
Sheridan, Clare
Sheridan, Frances Chamberlaine
Sheridan, Frank
Sheridan, Max C.
Sheridan, Philip Henry
Sheridan, Richard
Sheridan, Richard Brinsley
Sheridan, Thomas
Sheringham, George
Sherley, Douglass
Sherlock, Thomas
Sherman, Charles
Sherman, Francis
Sherman, Frank J.
Sherman, Harley Bakwel
Sherman, Harold M.
Sherman, Henry A.
Sherman, John
Sherman, Stuart Pratt
Sherman, William T.
Sherred, T. L.
Sherrick, Fannie Isabelle
Sherrill, Charles Hitchcock
Sherry, Richard
Shervill, W. P.
Sherwell, Guillermo A.
Sherwood, E. Hugh
Sherwood, Elmer
Sherwood, John D.
Sherwood, M. E. W.
Sherwood, Margaret Pollock
Sherwood, Mary Martha
Sherwood, Thomas, Practitioner in physick
Shestov, Lev
Shetrone, H. C.
Shetter, Stella C.
Shevchenko, Taras
Shew, Joel
Shewell, Livingston Robert
Shi, Hui
Shi, Nai'an
Shiel, M. P.
Shields, Alexander
Shields, G. O.
Shiga, Shigetsura
Shillito, Elizabeth Helen
Shindler, Mary Dana
Shinn, Florence Scovel
Shinn, Harold Brough
Shinn, Milicent Washburn
Shioya, Sakae
Shipley, A. E., Sir
Shipley, Maynard
Shipp, John
Shippen, Edward
Shirley, Arthur
Shirley, Dame
Shirley, Evelyn Philip
Shirley, James
Shirley, Penn
Shiukichi, Shigemi
Shoberl, Frederic
Shockley, Virgil F.
Shoemaker, Henry W.
Shoemaker, Michael Myers
Shoghi, Effendi
Sholem Aleichem
Sholl, Anna McClure
Sholto, Ralph
Shook, C.
Shore, Moyers S.
Shore, W. Teignmouth
Shores, Robert J.
Short, Ernest Henry
Short, John T.
Short, Richard
Shortall, Katherine
Shorter, Clement King
Shorter, Dora Sigerson
Shorthouse, J. H.
Shortland, Edward
Shortridge, John D.
Showell, Walter
Showerman, Grant
Shriner, Charles A.
Shuckard, William Edward
Shuckburgh, Evelyn S.
Shufeldt, Robert W.
Shufeldt, Robert Wilson
Shull, James Marion
Shuman, Carrie V.
Shumsky-Solomonov, C. M.
Shurtleff, Bertrand
Shurtleff, Flavel
Shute & Merchant
Shute, D. Kerfoot
Shute, Henry A.
Shuter, James
Shutter, Marion D.
Sibly, Frederick Arthur
Siborne, William
Sibree, James
Sichel, Walter
Sick, Ingeborg Maria
Sickert, Walter
Sidgwick, Alfred, Mrs.
Sidgwick, Arthur
Sidgwick, Eleanor Mildred
Sidgwick, Frank
Sidgwick, Henry
Sidis, Boris
Sidney, Margaret
Sidney, Philip
Sidney, Samuel
Sidwell, Adelia B. Cox
Siebe, Josephine
Siebert, Wilbur Henry
Siebold, Philipp Franz von
Sielof, Johanna Maria
Siemsen, Hans
Sienicka, Léonia
Sienkiewicz, Henryk
Siepert, Albert Frederick
Sieveking, Hermann
Sieveking, I. Giberne
Sifferath, Nicholas Louis
Sigea, Luisa
Sigerson, George
Sigourney, L. H.
Sigurjónsson, Jóhann
Sihvo, Aarne
Siikaniemi, Väinö
Sikes, Thomas
Sikes, Wirt
Silberer, Herbert
Silberrad, Una L.
Silius Italicus, Tiberius Catius
Siljo, Juhani
Sillanpää, Frans Eemil
Sillars, John
Sillem, Charles
Silletto, John
Sillevis, Annie
Silliman, Augustus E.
Silloway, Thomas W.
Sills, Steven David Justin
Silva Pinto, Antonio da
Silva, Acúrcio Correia da
Silva, Ercole
Silva, J. M. Pereira da
Silva, Joaquim Possidónio Narciso da
Silva, Luiz Augusto Rebello da
Silveira da Mota, I. F.
Silver, J. M. W.
Silver, James
Silverberg, Robert
Silvestre, Armand
Silvestre, Charles
Sima, Qian
Simak, Clifford D.
Sime, James
Sime, William
Simmel, Ernst
Simmel, Georg
Simmonds, Henry S.
Simmonds, P. L.
Simmons, Amelia
Simmons, Edward
Simmons, George
Simmons, Henry T.
Simmons, Mervin C.
Simmons, W. H.
Simmons, W. J.
Simms, William Gilmore
Simon, John
Simon, Max
Simon, Théodore
Simonds, Frank H.
Simonds, Vance
Simonds, William Day
Simonetta, Cicco
Simonin, Louis
Simons, Joseph Winslow
Simpson, A. B.
Simpson, E. Blantyre
Simpson, Edward
Simpson, Georgiana Rose
Simpson, J. M., Mrs.
Simpson, James Young
Simpson, John Thomas
Simpson, Pinder
Simpson, W. T.
Simpson, William
Sims, George R.
Sims, John
Sims, William Sowden
Simson, James
Simson, Walter
Simões, Augusto Filipe
Sinclair, Angus
Sinclair, Bertrand W.
Sinclair, Catherine
Sinclair, F. G.
Sinclair, George
Sinclair, John
Sinclair, May
Sinclair, Upton
Sindall, R. W.
Sindelar, Joseph C.
Singer Sewing Machine Company
Singer, Charles
Singleton, Esther
Singmaster, Elsie
Sinistrari, Ludovico Maria
Sinks, Perry Wayland
Sinués de Marco, María del Pilar
Siringo, Charles A.
Sirius, R. U.
Sirven, Alfred
Sismondi, J.-C.-L. Simonde de
Sissala, Eero
Sitwell, Edith
Sitwell, Florence Alice
Sitwell, Osbert
Sivachandra Vasu
Sivia, H.
Siwertz, Sigfrid
Sixemonts, Pierre
Sjögren, Otto
Skae, Hilda T.
Skanchy, Anthon L.
Skartvedt, Romayne
Skeat, Walter W.
Skeat, Walter William
Skeats, Wilfred S.
Skeen, William
Skelton, John
Skelton, Oscar D.
Skene, W. F.
Sketchley, R. E. D.
Skiles, May Evelyn
Skinner, Ada M.
Skinner, Charles M.
Skinner, Charlotte
Skinner, Constance Lindsay
Skinner, E. D.
Skinner, Eleanor L.
Skinner, Harriet Pearl
Skinner, James
Skinner, John
Skinner, M. L.
Skinner, W. E.
Skinnider, Margaret
Skowronnek, Fritz
Skowronnek, Richard
Skrine, Francis Henry
Skrine, John Huntley
Skupeldyckle, W. W.
Slack, Henry James
Slack, Rosamund
Slade, James
Sladen, Douglas Brooke Wheelton
Slafter, Edmund F.
Slater, Edward
Slater, Gilbert
Slater, I.
Slater, J. Atwood
Slater, J. Herbert
Slater, John
Slater, John Rothwell
Slatin, Rudolf Carl, Freiherr von
Slattery, John T.
Slattery, Margaret
Slaught, H. E.
Slaughter, Frances E.
Slauson, Harold Whiting
Slaveikov, Pencho P.
Slavici, Ioan
Sleeman, Charles William
Sleeman, W. H., Sir
Sleeper, John Sherburne
Sleffel, Charles Conrad
Sleigh, W. W.
Sleight, C. S.
Sleight, Charles Lee
Slemons, J. Morris
Slesar, Henry
Sloan, John A.
Sloan, Ralph
Sloane, Julia M.
Sloane, T. O'Conor
Sloane, William Milligan
Sloat, Edwin K.
Slocum, Joshua
Slocum, Rob R.
Sloos, Dirk Abraham
Slosson, Annie Trumbull
Slosson, Edwin E.
Slotkin, Joseph
Slouschz, Nahum
Slowinski, David
Sluijters, Hendrik
Sly, William James
Small, A. L.
Small, Annie H.
Small, Isaac M.
Small, James C.
Smalley, George W.
Smalls, Robert
Smallwood, Mabel Elizabeth
Smarandache, Florentin
Smart, Hawley
Smart, Newton
Smart, William
Smeaton, William Henry Oliphant
Smedley, Charles
Smedley, Frank E.
Smedley, William T.
Smee, William Ray
Smet, Pierre-Jean de
Smile, R. Elton
Smiles, Samuel
Smith, A. D.
Smith, A. DeHerries
Smith, A. Freeman
Smith, A. H.
Smith, A. Murray, Mrs.
Smith, Adam
Smith, Adelaide W.
Smith, Albert
Smith, Alexander
Smith, Alice Prescott
Smith, Allen Christian
Smith, Anna Bustill
Smith, Annie Lorrain
Smith, April
Smith, Archibald
Smith, Arthur
Smith, Arthur Cosslett
Smith, Arthur D. Howden
Smith, Arthur H.
Smith, Baxter Perry
Smith, Ben
Smith, Bertha H.
Smith, Brainard Gardner
Smith, Buckingham
Smith, C. Alphonso
Smith, C. E.
Smith, C. Fox
Smith, Caroline L.
Smith, Cecil
Smith, Charles H.
Smith, Charles W.
Smith, Charlotte
Smith, Clark Ashton
Smith, Dama Margaret
Smith, Daniel P.
Smith, David Eugene
Smith, David Nichol
Smith, David Z.
Smith, Deborah Takiff
Smith, E. A.
Smith, E. Boyd
Smith, E. E.
Smith, Edgar Fahs
Smith, Edward
Smith, Edward H.
Smith, Effie Waller
Smith, Elizabeth Oakes Prince
Smith, Elliott
Smith, Elva Sophronia
Smith, Elwyn A.
Smith, Erminnie A.
Smith, Eugenia
Smith, Evelyn E.
Smith, Everett C.
Smith, F. Berkeley
Smith, F. Clifford
Smith, F. G.
Smith, Francis Asbury
Smith, Francis Hopkinson
Smith, Frank L.
Smith, Garret
Smith, Geoffrey
Smith, Geoffrey Bache
Smith, George
Smith, George A.
Smith, George Adam
Smith, George Albert
Smith, George Barnett
Smith, George Frederick Herbert
Smith, George H.
Smith, George O.
Smith, George Vance
Smith, Gipsy
Smith, Goldwin
Smith, Goodwin Brooke
Smith, Grafton Elliot
Smith, Gustavus Woodson
Smith, H. Clifford
Smith, Harlan Ingersoll
Smith, Harriet L.
Smith, Harry George Wakelyn, Sir
Smith, Harry James
Smith, Henrietta Brown
Smith, Henry Bascom
Smith, Hermann
Smith, Hobart M.
Smith, Horace
Smith, Horace Herbert
Smith, Hubert
Smith, Hugh
Smith, Hugh M.
Smith, Huron H.
Smith, J. Allen
Smith, J. B.
Smith, J. J.
Smith, J. Jay
Smith, J. Malcolm
Smith, James
Smith, James Dale
Smith, James Edgar
Smith, James Edward
Smith, Jeanie Oliver Davidson
Smith, Jewell Ellen
Smith, John
Smith, John Bernhard
Smith, John Campbell
Smith, John Talbot
Smith, John Thomas
Smith, Joseph F.
Smith, Joseph Fielding
Smith, Joseph S.
Smith, Joseph, Jr.
Smith, Julius
Smith, Justin Harvey
Smith, Langdon
Smith, Laura Rountree
Smith, Laurence Yard
Smith, Lewis Worthington
Smith, Logan Pearsall
Smith, Lucy
Smith, Mabell S. C.
Smith, Mary P. Wells
Smith, Moses, Mrs.
Smith, Nora Archibald
Smith, Norman Kemp
Smith, Otterbein Oscar
Smith, Philip H.
Smith, Philip Vernon
Smith, Phyllis Sterling
Smith, Preserved
Smith, R. Cadwallader
Smith, Rebekah
Smith, Richard Rein
Smith, Robert
Smith, Ruel Perley
Smith, Seba
Smith, Sigurd
Smith, Southwood
Smith, Stephen
Smith, Steven D.
Smith, Sydney
Smith, T. Roger
Smith, Theobald
Smith, Theodore Clarke
Smith, Thomas
Smith, Thomas Barlow
Smith, Thomas F. A.
Smith, Thorne
Smith, Uriah
Smith, Venture
Smith, W. Whately
Smith, Wade C.
Smith, Walker C.
Smith, Watson
Smith, Willard M.
Smith, William
Smith, William A.
Smith, William Alexander
Smith, William Benjamin
Smith, William Hawley
Smith, William J.
Smith, William Robert Lee
Smith, Winchell
Smith, Worthington George
Smith, Z. F.
Smith-Dampier, E. M.
Smithson, Noble
Smits, G.
Smollett, T.
Smolnikar, Andrew B.
Smoot, Dan
Smuts, Jan Christiaan
Smyth, Albert Henry
Smyth, Clifford
Smyth, Eleanor C. Hill
Smyth, G. Hutchinson
Smyth, H. Warington
Smyth, J. Paterson
Smyth, W. H.
Smyth, William J.
Smythe, E. Louise
Smythe, James P.
Snaith, J. C.
Snape, Andrew
Snedden, Genevra Sisson
Snedeker, Caroline Dale
Snelgrave, William
Snell, Charles W.
Snell, F. J.
Snell, Roy J.
Snell, Victor
Snelleman, Johannes François
Snelling, Henry Hunt
Snethlage, Hendrik Anne Constantijn
Sneyd-Kynnersley, E. M.
Snider, Denton Jaques
Snijders, A. J. C.
Snoek, Johan M.
Snorri Sturluson
Snouck Hurgronje, C.
Snow, Alpheus Henry
Snow, Bonnie E.
Snow, Charles H.
Snow, Eliza R.
Snow, Erastus Fairbanks
Snow, Herbert
Snow, Jack
Snow, John
Snow, S. T.
Snowden, Ethel
Snowden, James H.
Snowden, James Ross
Snowman, Jacob
Snuff, Mary Hazel
Snyder, Charles M.
Snyder, Harry
Snyder, Henry
Snyder, Jean M.
Snyder, W. Ed.
Soane, Ely Banister
Soares, Rae
Soares, Theodore Gerald
Socci, Ettore
Sociedad Abolicionista Española
Sociedade de Geografia de Lisboa
Society for Promoting Christian Knowledge
Society for Promoting Christian Knowledge. Committee of General Literature and Education
Society for Pure English
Society for the Mitigation and Gradual Abolition of Slavery Throughout the British Dominions
Society of Friends
Sohl, Jerry
Sohnrey, Heinrich
Sohrmann, Hans
Soini, Lauri
Soini, Wilho
Sokol, Josef
Sokolov, N.
Sokolow, Nahum
Solberg, Charles O.
Solbert, Oscar N.
Soldan, Wilhelm Gottlieb
Soldevila, Carles
Soley, James Russell
Solger, H.
Solkio, Olli
Sollas, Igerna Brünhilda Johnson
Sollmann, Torald Hermann
Sologub, Fyodor
Solomon, Harry C.
Solomon, Steve
Solomons, Theodore
Solomos, Dionysios
Soltau, G. W.
Solvay, Ernest
Solís, Antonio de
Sombart, Werner
Somerton, Alice
Somervell, D. C.
Somerville, Alexander
Somerville, Charles
Somerville, E. Oe.
Somerville, H. G.
Somerville, Mary
Somerville, William
Sommarin, Emil
Sommer, H. B.
Sommerfeld, Arnold
Sommerville, Maxwell
Sommier, Stephen
Song, Shangjie
Song, Ye
Song, Yingxing
Sonolet, Louis
Soo, Chung Ling
Sorabji, Cornelia
Sori, A. F. Marx de
Sorley, Charles Hamilton
Sorley, W. R.
Sorrel, G. Moxley
Sotheran, Charles
Soule, Charles C.
Soule, Richard
Soulier, Monsieur
Soulsby, Lucy Helen Muriel
Souriau, Paul
Souris, Georgios
Sourryère de Souillac, José
Sousa, Eduardo de
Sousa, John Philip
South, Clark
South, Richard
Southall, Eliza Allen
Southall, John
Southard, Elmer Ernest
Southern Pacific Company
Southern Pacific Company. Passenger Department
Southern, Terry
Southey, Robert
Southwell, Charles
Southwest Parks and Monuments Association
Southwestern Monuments Association
Southwick, Jessie Eldridge
Southworth, Emma Dorothy Eliza Nevitte
Southworth, Gertrude Van Duyn
Southworth, May E.
Souttar, Henry Sessions
Souvestre, Pierre
Souvestre, Émile
Souza-Botelho, Adélaïde-Marie-Emilie Filleul, marquise de
Soveral, Luiz Augusto Pinto Soveral, visconde de
Sowerby, G. B.
Sowle, Henrietta
Soyer, Alexis
Sozinskey, Thomas S.
Spadoni, Adriana
Spafford, Oliver
Spain. Comisión arqueológica ejecutiva
Spalding, Henry S.
Spalding, J. W.
Spalding, John Lancaster
Spalding, Katie
Spalding, Phebe Estelle
Spalding, Thomas Alfred
Spalding, Walter Raymond
Spalding, William
Spargo, John
Sparhawk, Frances C.
Sparks, David R.
Sparks, Edwin Erle
Sparks, Jared
Sparks, W. H.
Sparre, Christian
Sparre, Erik
Sparrow, Walter Shaw
Sparrow-Simpson, W. J.
Sparroy, Wilfrid
Spateman, John
Spaulding, Frank E.
Spaventa, Bertrando
Spear, Ellis
Speare, Dorothy
Spearman, Frank H.
Spears, John Randolph
Spears, Raymond S.
Speck, Frank G.
Speckman, Charles
Speckmann, Diedrich
Spedon, Andrew Learmont
Speed, Harold
Speed, John Gilmer
Speed, Nell
Speek, Peter A.
Speer, Robert E.
Speidel, Ludwig
Speight, T. W.
Speir, Francis
Speiser, Felix
Speke, John Hanning
Spellings, H. A., Mrs.
Spence, Catherine Helen
Spence, Edward Fordham
Spence, Lewis
Spence, William
Spence-Jones, H. D. M.
Spencer, Anna Garlin
Spencer, Cornelia Phillips
Spencer, Edward
Spencer, Erle
Spencer, Herbert
Spencer, Ichabod S.
Spencer, Len
Spencer, M. Lyle
Spencer, Orson
Spencer, Sanders
Spencer-Cooper, Henry Edmund Harvey
Spender, Harold
Spengler, Oswald
Spenser, Edmund
Sperani, Bruno
Sperry Gyroscope Company
Sperry, Raymond
Spewack, Samuel
Speyer, Leonora
Speyer, Wilhelm
Spice Islands Company
Spicer, Ernest Evan
Spicer, William A.
Spicer, William Ambrose
Spiegel, E., Freiherr von
Spielhagen, Friedrich
Spielmann, M. H.
Spier, Leslie
Spiess, Moritz
Spilker, Louise
Spillman, Joseph
Spinden, Herbert Joseph
Spindler, Carl
Spindler, Karl
Spingarn, Joel Elias
Spink, Henry
Spinners' Club
Spinoza, Benedictus de
Spinrad, Norman
Spitz, R. J.
Spitzweg, Karl
Spivak, John L.
Spofford, Ainsworth Rand
Spofford, Harriet Elizabeth Prescott
Spohr, Louis
Spon, Ernest
Spool Cotton Co.
Spooner, Lysander
Spooner, Shearjashub
Sprague, Charles
Sprague, Homer B.
Sprague, Ruth M.
Sprat, Thomas
Spring, La Verne W.
Springer, A.
Springer, John S.
Springer, Norman
Springer, Rebecca Ruter
Springfield, Rollo
Springsteed, Anne Frances
Sprunt, James
Spurgeon, C. H.
Spurgeon, Caroline F. E.
Spurr, Frederic C.
Spurr, Josiah Edward
Spurrell, H. G. F.
Spyri, Johanna
Squareman, Clarence
Squier, E. G.
Squier, Edward Summers
Squire, Charles
Squire, John Collings, Sir
Squires, Richard C.
St. André, Nathanael
St. Aubyn, Alan
St. Clair, Francis
St. Clair, George
St. Clair, Margaret
St. George, R. A.
St. John de Crèvecoeur, J. Hector
St. John, James Augustus
St. John, Spenser, Sir
St. John, Thomas M.
St. Johnston, Alfred
St. Jude
St. Mars, F.
St. Paul, Mother
St. Sernin, Mademoiselle
St., P. B.
Staats, William
Stables, Gordon
Stace, W. T.
Stack, Edward
Stacke, L.
Stackelberg, Natalie
Stacpoole, H. De Vere
Stacpoole, Margaret Robson
Stacpoole, William Henry
Stafford, David W.
Stahl, Clarence Victor
Stahl, P.-J.
Stains, Howard J.
Stair, John Dalrymple, Earl of
Stair-Kerr, Eric
Staley, Edgcumbe
Stalker, James
Stall, Sylvanus
Stallcup, William B.
Stallman, Richard
Stam, David H.
Stamatiades, Epameinondas I.
Stamatov, G. P.
Stamers, James
Stamm, Claus
Stamp Act Congress
Stampoy, Pappity
Stanard, Mary Newton
Standard Lighting Company
Standing, Percy Cross
Standish, Burt L.
Stanfield, James Field
Stangland, Arthur G.
Stanhope, Hester, Lady
Stankiević, V.
Stanley, Arthur Penrhyn
Stanley, Caroline Abbot
Stanley, Edward
Stanley, Henry M.
Stanley, Hiram Miner
Stanley, Monica M.
Stanley, Thomas
Stanley, W.
Stanley, William Ford
Stannus, Graydon, Mrs.
Stanoyevich, Milivoy S.
Stanton, Elizabeth Cady
Stanton, Frank Lebby
Stanton, Henry
Stanton, Henry B.
Stanwood, Avis A. Burnham
Stanyon, Ellis
Stapfer, Paul
Stapleton, John H.
Starbuck, Roger
Starbäck, C. Georg
Stark, Harriet
Stark, Inspector
Stark, James Henry
Starke, D.
Starr, Charles A.
Starr, Ernest
Starr, Frederick
Starr, Ida May Hill
Starrett, Helen Ekin
Starrett, Vincent
Starzl, Roman Frederick
Stastný, Jan
Statham, Edward Phillips
Staub, Edward S.
Stauffer, Frank H.
Stauffer, Vernon
Staunton, Howard
Staveley, Lilian
Stawell, Rodolph, Mrs.
Staël, Madame de
Stead, Richard
Stead, Robert J. C.
Stead, W. T.
Stealey, F. L.
Stearns, Charles
Stearns, Charles A.
Stearns, Frank Preston
Stearns, Henry Putnam
Stearns, J. N.
Stearns, Myron M.
Stearns, Oliver
Stearns, Samuel
Stearns, Wallace N.
Stebbing, Grace
Stebbing, Thomas Roscoe Rede
Stebbing, W.
Stebbins, Charles Maurice
Stecher, Gilbert Erwin
Stecher, L. J., Jr.
Stedman, Edmund Clarence
Stedman, Fabian
Stedman, John Gabriel
Stedman, John, teacher of astronomy
Steedman, Amy
Steel, A. G.
Steel, Flora Annie Webster
Steel, W. G.
Steele, Chester K.
Steele, David
Steele, Edward Strieby
Steele, Eliza R.
Steele, Harwood
Steele, Jack
Steele, James W.
Steele, Joel Dorman
Steele, Richard, Sir
Steele, Robert
Steele, Thomas Sedgwick
Steenbergen, Albertus Alidus
Stees, Charles J.
Steevens, G. W.
Stefani, Alessandro de
Stefansson, Vilhjalmur
Steffen, Gustaf Fredrik
Steffen, Mart R.
Steffens, Arnold
Steffens, Lincoln
Stegmann, F. H.
Stein, Armin
Stein, Aurel, Sir
Stein, Evaleen
Stein, Gertrude
Steinberg, Judah
Steiner, Bernard C.
Steiner, Edward Alfred
Steiner, Rudolf
Steinert, Walter
Steinhausen, Georg
Steinhausen, Heinrich
Steinheil, Marguerite
Steinhofer, Károly
Steinmetz, Andrew
Steinmetz, Margaret Bird
Steinmüller, Paul
Stekel, Wilhelm
Stelle, J. Parish
Stellman, Louis J.
Stelwagon, Henry Weightman
Stenbäck, Lars
Stendal, Russell
Stenhouse, E.
Stenhouse, T. B. H., Mrs.
Stenius, John
Stenton, F. M.
Stenvall, Hanna
Step, Edward
Stephen, Caroline Emelia
Stephen, Geo. A.
Stephen, Karin
Stephen, Leslie
Stephen, Vincent
Stephens, Ann S.
Stephens, Bascom Asbury Cecil
Stephens, C. A.
Stephens, Frederic George
Stephens, H. Morse
Stephens, Henry
Stephens, J. W. W.
Stephens, James
Stephens, John L.
Stephens, Kate
Stephens, Robert Neilson
Stephens, W. R. W.
Stephens, William
Stephenson, Andrew
Stephenson, Gilbert Thomas
Stephenson, Henry Thew
Stephenson, James H.
Stephenson, John W.
Stephenson, Nathaniel W.
Stephenson, William B.
Stepniak, S.
Sterling, Bruce
Sterling, George
Stern, Adolf
Stern, Daniel
Stern, Eva
Stern, G. B.
Stern, Maximilian
Stern, Menco
Stern, Sigmon M.
Sternaux, Ludwig
Sternbach, Richard A.
Sternberg, Charles H.
Sterndale, Robert Armitage
Sterne, Emma Gelders
Sterne, Laurence
Sternheim, Carl
Sternig, Larry
Sterrett, Frances R.
Sterrett, James H.
Stetson, James B.
Steuart, James, Sir
Stevens, Augusta de Grasse
Stevens, C. M.
Stevens, Doris
Stevens, Francis
Stevens, Frank
Stevens, Frank Everett
Stevens, Frank Lincoln
Stevens, George Alexander
Stevens, George T.
Stevens, Hazard
Stevens, Henry
Stevens, Isaac Newton
Stevens, James
Stevens, John Austin
Stevens, Joseph Earle
Stevens, N. M.
Stevens, Thomas
Stevens, William Oliver
Stevenson, A. E.
Stevenson, Adlai E.
Stevenson, Alan
Stevenson, Augusta
Stevenson, Burton Egbert
Stevenson, Charles Hugh
Stevenson, David
Stevenson, Edward
Stevenson, Edward Luther
Stevenson, Fanny Van de Grift
Stevenson, James
Stevenson, Matilda Coxe
Stevenson, Robert
Stevenson, Robert Louis
Stevenson, Sara Yorke
Stevenson, William
Stevenson, William G.
Steward, Austin
Steward, T. G.
Steward, William Augustus
Stewart, A. A.
Stewart, Agnes Grainger
Stewart, Alexander
Stewart, Alexander Morrison
Stewart, Alexander, Rev.
Stewart, Anna Bird
Stewart, Balfour
Stewart, C. S.
Stewart, Cal
Stewart, Caroline
Stewart, Caroline Taylor
Stewart, Charles Alexander
Stewart, Charles D.
Stewart, Cora Wilson
Stewart, Donald Ogden
Stewart, Donald William
Stewart, Elihu
Stewart, Elinore Pruitt
Stewart, Elmer Bryan
Stewart, Frank H.
Stewart, George
Stewart, Jane L.
Stewart, John
Stewart, Lillian Kimball
Stewart, Maria L.
Stewart, Peggy Lou
Stewart, William Grant
Stickney, J. H.
Stidger, William L.
Stieglitz, Julius
Stiel, Paul
Stiernstedt, Marika
Stifter, Adalbert
Stigand, C. H.
Stigand, Nancy Yulee
Stiles, Henry Reed
Stiles, Kate R.
Still, A. T.
Still, Henry
Still, John
Still, William
Stillman, William James
Stillwell, Leander
Stillwell, Norma
Stilson, Charles B.
Stimpson, Herbert Baird
Stimpson, Mary Stoyell
Stimson, Dorothy
Stimson, Frederic Jesup
Stimson, Julia C.
Stinde, Julius
Stine, Thomas Ostenson
Stirke, D. E. C.
Stirling, James Hutchison
Stirling, John
Stirling, William
Stirling, Yates
Stirner, Max
Stitt, E. R.
Stjernstedt, Georg
Stjernström, Jeanette
Stjernström, Louise
Stobart, J. C.
Stobart, M. A.
Stock, Eugene
Stock, Ralph
Stock, St. George William Joseph
Stockberger, W. W.
Stockbridge, Frank Parker
Stockdale, Frederick Wilton Litchfield
Stockett, Letitia
Stockham, Alice B.
Stockham, Richard
Stockheker, R. W.
Stocking, Abner
Stocking, Charles Francis
Stockley, Cynthia
Stockman, James R.
Stockton State Hospital
Stockton, Frank R.
Stockton, Louise
Stoddard, Charles Warren
Stoddard, Elizabeth
Stoddard, John L.
Stoddard, Lorimer
Stoddard, Lothrop
Stoddard, Richard Henry
Stoddard, William O.
Stoddart, Jane T.
Stoddart, Thomas Tod
Stoerk, Felix
Stoessel, Albert
Stojan, Harry
Stoke, Melis
Stokely, Edith Keeley
Stokely, James
Stoker, Bram
Stokes, George Thomas
Stokes, H. F. Scott
Stokes, John H.
Stokes, John Lort
Stokes, Katherine
Stokes, Nellie Treanor
Stokes, Roy Eliot
Stokes, Winston
Stolberg-Stolberg, Augusta Louise, Gräfin zu
Stolz, Mme. de
Stone, A.
Stone, Amy Wentworth
Stone, Barney
Stone, Charles P.
Stone, Elizabeth T.
Stone, George Luther
Stone, Gertrude L.
Stone, Henry Lane
Stone, J. M.
Stone, James Madison
Stone, Leslie F.
Stone, Louis
Stone, Lowell
Stone, Raymond
Stone, William L.
Stonehouse, James
Stoner, Winifred Sackville
Stoney, Constance
Stooke, E. M.
Stooke, Eleanora H.
Stopes, C. C.
Stopes, Marie Carmichael
Stopher, Chas. A.
Stops, Mr.
Storer, Horatio Robinson
Storey, G. A.
Storm, Marian
Storm, Theodor
Storms, William H.
Storrick, W. C.
Story, William Wetmore
Stouff, Emile
Stoughton Holborn, I. B.
Stoughton, John
Stout, H. R.
Stout, Rex
Stovall, Pleasant A.
Stover, Wilbur B.
Stow, John
Stow, Marion Cook
Stowe, Harriet Beecher
Stowe, Lyman Beecher
Strachan, A. A.
Strachey, John St. Loe
Strachey, Lytton
Strahan, James
Strahan, Kay Cleaver
Straker, F.
Strang, Alan L.
Strang, Herbert
Strang, Herbert, Mrs.
Strang, Lewis Clinton
Strange, Edward Fairbrother
Strange, Michael
Strange, Robert
Straparola, Giovanni Francesco
Strasburger, Eduard
Stratemeyer, Edward
Strathesk, John
Stratton, Clarence
Stratton, Frank N.
Stratton, Lilyan
Stratton, R. B.
Stratton, Stephen S.
Stratton-Porter, Gene
Stratz, Rudolph
Straub, Harriet
Straus, Oscar S.
Straus, Ralph
Strauss, David Friedrich
Strauss, Friedrich
Strauss, G. L. M.
Strayer, George D.
Streatfeild, R. A.
Streckfuss, Adolf
Stredder, Eleanor
Street, Alfred Billings
Street, Cecil J. C.
Street, Eugène E.
Street, George Edmund
Street, Julian
Street, Thomas
Streeter, Edward
Streeter, John Williams
Streicher, Andreas
Streight, Abel D.
Stresemann, Gustav
Strettell, Alma
Stretton, Hesba
Streuvels, Stijn
Stribling, T. S.
Strickland, Agnes
Strickland, Arthur Barsazou
Strickland, Elisabeth
Strickland, Jane Margaret
Strickland, Samuel
Strickland, W. P.
Striker, Fran
Strindberg, August
Stringer, Arthur
Strobridge, Idah Meacham
Stroebe, Klara
Strohm, Rufus T.
Stromer, Theodor
Strong, Anne Hervey
Strong, Augustus Hopkins
Strong, D. M.
Strong, Ezra Baldwin
